Date,Sales,Price,MarketingSpend,Inventory,Traffic,Season,CompetitorPrice,WeatherIndex,EmployeeCount,PromotionActive
2026-01-01,12000,19.99,4500,620,15000,Winter,21.99,0.8,8,Yes
2026-01-02,11800,20.49,4300,610,14200,Winter,22.49,0.7,8,Yes
2026-01-03,13500,19.49,4700,640,15800,Winter,20.99,0.9,8,Yes
2026-01-04,12800,19.99,4400,630,15400,Winter,21.49,0.8,8,No
2026-01-05,11500,20.99,3900,590,14000,Winter,22.99,0.6,8,No
2026-01-06,12300,19.79,4600,620,15200,Winter,21.79,0.8,8,Yes
2026-01-07,11850,20.29,4200,595,14800,Winter,22.29,0.7,8,No
2026-01-08,13200,19.59,4800,650,16000,Winter,20.59,0.9,9,Yes
2026-01-09,12900,19.89,4600,640,15600,Winter,20.89,0.8,9,Yes
2026-01-10,14100,19.29,5000,670,16500,Winter,20.29,1.0,9,Yes
2026-01-11,13800,19.49,4900,660,16200,Winter,20.49,0.9,9,No
2026-01-12,12500,20.79,4100,600,14500,Winter,22.79,0.6,9,No
2026-01-13,13000,19.69,4700,630,15500,Winter,20.69,0.8,9,Yes
2026-01-14,12700,20.19,4400,620,15000,Winter,21.19,0.7,9,No
2026-01-15,14200,19.19,5200,680,16800,Winter,20.19,1.0,10,Yes
2026-01-16,14500,18.99,5400,690,17200,Winter,19.99,1.1,10,Yes
2026-01-17,15200,18.79,5600,700,17800,Winter,19.79,1.2,10,Yes
2026-01-18,14800,18.99,5500,690,17500,Winter,19.99,1.1,10,No
2026-01-19,13500,20.49,4300,640,15800,Winter,22.49,0.8,10,No
2026-01-20,13900,19.79,4800,660,16200,Winter,21.79,0.9,10,Yes
2026-01-21,13600,20.09,4500,650,15900,Winter,22.09,0.8,10,No
2026-01-22,15000,18.89,5700,710,18000,Winter,19.89,1.2,11,Yes
2026-01-23,15300,18.69,5900,720,18300,Winter,19.69,1.3,11,Yes
2026-01-24,16000,18.49,6200,740,18800,Winter,19.49,1.4,11,Yes
2026-01-25,15700,18.69,6000,730,18500,Winter,19.69,1.3,11,No
2026-01-26,14200,20.29,4600,670,16800,Winter,22.29,0.9,11,No
2026-01-27,14600,19.59,5100,690,17200,Winter,21.59,1.0,11,Yes
2026-01-28,14300,19.89,4800,680,16900,Winter,21.89,0.9,11,No
2026-01-29,15800,18.79,6100,750,18600,Winter,19.79,1.3,12,Yes
2026-01-30,16200,18.59,6400,770,19000,Winter,19.59,1.4,12,Yes
2026-01-31,16500,18.39,6700,790,19400,Winter,19.39,1.5,12,Yes
2026-02-01,14800,20.59,4900,700,17200,Winter,22.59,0.9,12,No
2026-02-02,15200,19.89,5400,720,17600,Winter,21.89,1.0,12,Yes
2026-02-03,14900,20.19,5100,710,17300,Winter,22.19,0.9,12,No
2026-02-04,16400,18.99,6600,800,19200,Winter,19.99,1.4,13,Yes
2026-02-05,16800,18.79,6900,820,19600,Winter,19.79,1.5,13,Yes
2026-02-06,17200,18.59,7200,840,20000,Winter,19.59,1.6,13,Yes
2026-02-07,16900,18.79,7000,830,19700,Winter,19.79,1.5,13,No
2026-02-08,15400,20.79,5500,750,17800,Winter,22.79,1.0,13,No
2026-02-09,15800,20.09,6000,770,18200,Winter,22.09,1.1,13,Yes
2026-02-10,15500,20.39,5700,760,17900,Winter,22.39,1.0,13,No
2026-02-11,17100,18.99,7300,850,20100,Winter,19.99,1.6,14,Yes
2026-02-12,17500,18.79,7600,870,20500,Winter,19.79,1.7,14,Yes
2026-02-13,18200,18.49,8100,900,21200,Winter,19.49,1.8,14,Yes
2026-02-14,17900,18.69,7800,890,20900,Winter,19.69,1.7,14,No
2026-02-15,16200,21.09,6100,800,18400,Winter,23.09,1.2,14,No
2026-02-16,16600,20.39,6600,820,18800,Winter,22.39,1.3,14,Yes
2026-02-17,16300,20.69,6300,810,18500,Winter,22.69,1.2,14,No
2026-02-18,17800,19.19,8200,920,21400,Winter,21.19,1.8,15,Yes
2026-02-19,18200,18.99,8500,940,21800,Winter,20.99,1.9,15,Yes
2026-02-20,18900,18.69,9100,980,22600,Winter,20.69,2.0,15,Yes
2026-02-21,18600,18.89,8800,970,22300,Winter,20.89,1.9,15,No
2026-02-22,16900,21.49,6700,870,19000,Winter,23.49,1.4,15,No
2026-02-23,17300,20.79,7200,890,19400,Winter,22.79,1.5,15,Yes
2026-02-24,17000,21.09,6900,880,19100,Winter,23.09,1.4,15,No
2026-02-25,18500,19.49,9000,1000,22800,Winter,21.49,2.0,16,Yes
2026-02-26,18900,19.29,9300,1020,23200,Winter,21.29,2.1,16,Yes
2026-02-27,19600,18.99,9900,1060,24000,Winter,20.99,2.2,16,Yes
2026-02-28,19300,19.19,9600,1050,23700,Winter,21.19,2.1,16,No
2026-03-01,17500,22.19,7300,920,19800,Spring,24.19,1.6,16,No
2026-03-02,17900,21.49,7800,940,20200,Spring,23.49,1.7,16,Yes
2026-03-03,17600,21.79,7500,930,19900,Spring,23.79,1.6,16,No
2026-03-04,19200,20.19,9600,1070,23400,Spring,22.19,2.1,17,Yes
2026-03-05,19600,19.99,9900,1090,23800,Spring,21.99,2.2,17,Yes
2026-03-06,20300,19.69,10500,1130,24600,Spring,21.69,2.3,17,Yes
2026-03-07,20000,19.89,10200,1120,24300,Spring,21.89,2.2,17,No
2026-03-08,18200,22.79,8100,970,20600,Spring,24.79,1.8,17,No
2026-03-09,18600,22.09,8600,990,21000,Spring,24.09,1.9,17,Yes
2026-03-10,18300,22.39,8300,980,20700,Spring,24.39,1.8,17,No
2026-03-11,19900,20.79,10800,1160,24800,Spring,22.79,2.3,18,Yes
2026-03-12,20300,20.59,11100,1180,25200,Spring,22.59,2.4,18,Yes
2026-03-13,21000,20.29,11700,1220,26000,Spring,22.29,2.5,18,Yes
2026-03-14,20700,20.49,11400,1210,25700,Spring,22.49,2.4,18,No
2026-03-15,18900,23.29,8900,1010,21800,Spring,25.29,2.0,18,No
2026-03-16,19300,22.59,9400,1030,22200,Spring,24.59,2.1,18,Yes
2026-03-17,19000,22.89,9100,1020,21900,Spring,24.89,2.0,18,No
2026-03-18,20600,21.29,12000,1250,26200,Spring,23.29,2.5,19,Yes
2026-03-19,21000,21.09,12300,1270,26600,Spring,23.09,2.6,19,Yes
2026-03-20,21700,20.79,12900,1310,27400,Spring,22.79,2.7,19,Yes
2026-03-21,21400,20.99,12600,1300,27100,Spring,22.99,2.6,19,No
2026-03-22,19600,23.79,9700,1080,22800,Spring,25.79,2.2,19,No
2026-03-23,20000,23.09,10200,1100,23200,Spring,25.09,2.3,19,Yes
2026-03-24,19700,23.39,9900,1090,22900,Spring,25.39,2.2,24,No
2026-03-25,21300,21.79,13200,1330,27800,Spring,23.79,2.7,20,Yes
2026-03-26,21700,21.59,13500,1350,28200,Spring,23.59,2.8,20,Yes
2026-03-27,22400,21.29,14100,1390,29000,Spring,23.29,2.9,20,Yes
2026-03-28,22100,21.49,13800,1380,28700,Spring,23.49,2.8,20,No
2026-03-29,20200,24.49,10500,1120,23800,Spring,26.49,2.4,20,No
2026-03-30,20600,23.79,11000,1140,24200,Spring,25.79,2.5,20,Yes
2026-03-31,20300,24.09,10700,1130,23900,Spring,26.09,2.4,20,No
